Country Name,Country Code,Series Name,Series Code,GDP1985,GDP1990,GDP1995,GDP2000,GDP2005,GDP2010,GDP2015
Turkmenistan,TKM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,4831.131925,2673.669213,3094.600147,3762.132625,5802.007202,8980.643368
Uganda,UGA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,570946.884,614901.1031,734829.4153,846211.6212,991477.1947,1235497.14,1365048.9
Ukraine,UKR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,31467.69113,15216.1271,14426.8978,21791.55281,23530.18376,22424.81602
United Arab Emirates,ARE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,265723.0854,225444.7157,209167.2761,211049.4058,186469.0931,113012.3858,129372.151
United Kingdom,GBR,GDP per capita (constant LCU),NY.GDP.PCAP.KN,15789.94283,18527.88217,19803.55321,22813.66967,25558.70997,25052.2553,26656.66901
United States,USA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,32306.83306,36312.41418,38677.71509,45055.81792,48755.61606,48374.08679,51638.06521
Uruguay,URY,GDP per capita (constant LCU),NY.GDP.PCAP.KN,82764.03425,96923.85373,113375.5846,126806.9951,127801.7277,168249.0615,196514.891
Uzbekistan,UZB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,54886.95238,40071.28443,44746.69754,54852.86086,75774.21594,102166.3012
Vanuatu,VUT,GDP per capita (constant LCU),NY.GDP.PCAP.KN,218141.6595,209124.8437,214056.0677,231576.0464,214060.8955,241829.2079,230204.1927
"Venezuela, RB",VEN,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1676.197887,1679.180311,1780.601966,1675.278538,1737.959921,1924.679293,..
Vietnam,VNM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,7373820.322,8305599.456,11296762.91,14660541.1,19281533.06,24821879.04,31360270.78
West Bank and Gaza,WBG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,4015.608571,6049.910836,6483.007027,5992.014646,6786.913856
"Yemen, Rep.",YEM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,12370.05083,13074.40674,14426.06579,15385.31504,16529.67812,9771.673982
Zambia,ZMB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,5296.486286,4941.488504,4289.36912,4478.401257,5317.661881,6985.185996,7710.658561
Zimbabwe,ZWE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,1118.910351,1182.388771,1126.421964,1180.177266,774.0503733,650.1421973,785.4139889
